,data,result
29200,"[87, 52, 1]",[35]
29201,"[39, 67, 0]",[106]
29202,"[5, 63, 2]",[315]
29203,"[99, 83, 2]",[8217]
29204,"[44, 38, 3]",[1.1578947368421053]
29205,"[75, 54, 0]",[129]
29206,"[97, 43, 1]",[54]
29207,"[82, 46, 2]",[3772]
29208,"[73, 2, 3]",[36.5]
29209,"[71, 88, 0]",[159]
29210,"[47, 34, 3]",[1.3823529411764706]
29211,"[39, 33, 1]",[6]
29212,"[34, 68, 0]",[102]
29213,"[62, 52, 1]",[10]
29214,"[31, 46, 2]",[1426]
29215,"[49, 92, 2]",[4508]
29216,"[22, 34, 2]",[748]
29217,"[85, 94, 0]",[179]
29218,"[65, 27, 2]",[1755]
29219,"[22, 74, 0]",[96]
29220,"[96, 97, 3]",[0.9896907216494846]
29221,"[53, 40, 3]",[1.325]
29222,"[93, 83, 3]",[1.1204819277108433]
29223,"[97, 17, 3]",[5.705882352941177]
29224,"[77, 96, 0]",[173]
29225,"[23, 69, 0]",[92]
29226,"[78, 18, 3]",[4.333333333333333]
29227,"[5, 66, 1]",[-61]
29228,"[16, 21, 3]",[0.7619047619047619]
29229,"[55, 23, 1]",[32]
29230,"[76, 78, 3]",[0.9743589743589743]
29231,"[58, 5, 1]",[53]
29232,"[50, 69, 2]",[3450]
29233,"[38, 62, 2]",[2356]
29234,"[18, 34, 1]",[-16]
29235,"[56, 42, 3]",[1.3333333333333333]
29236,"[45, 22, 2]",[990]
29237,"[100, 41, 3]",[2.4390243902439024]
29238,"[22, 73, 2]",[1606]
29239,"[88, 8, 2]",[704]
29240,"[20, 68, 2]",[1360]
29241,"[22, 59, 2]",[1298]
29242,"[85, 14, 3]",[6.071428571428571]
29243,"[90, 41, 1]",[49]
29244,"[55, 77, 3]",[0.7142857142857143]
29245,"[1, 75, 1]",[-74]
29246,"[2, 6, 3]",[0.3333333333333333]
29247,"[33, 65, 1]",[-32]
29248,"[11, 69, 2]",[759]
29249,"[63, 58, 1]",[5]
29250,"[95, 4, 2]",[380]
29251,"[2, 32, 2]",[64]
29252,"[11, 48, 3]",[0.22916666666666666]
29253,"[34, 10, 1]",[24]
29254,"[99, 92, 3]",[1.076086956521739]
29255,"[19, 52, 2]",[988]
29256,"[0, 7, 0]",[7]
29257,"[11, 4, 3]",[2.75]
29258,"[52, 72, 2]",[3744]
29259,"[61, 79, 2]",[4819]
29260,"[51, 76, 1]",[-25]
29261,"[14, 8, 3]",[1.75]
29262,"[87, 5, 3]",[17.4]
29263,"[6, 10, 1]",[-4]
29264,"[34, 58, 0]",[92]
29265,"[43, 57, 1]",[-14]
29266,"[3, 29, 3]",[0.10344827586206896]
29267,"[27, 19, 0]",[46]
29268,"[16, 51, 1]",[-35]
29269,"[43, 17, 3]",[2.5294117647058822]
29270,"[48, 25, 3]",[1.92]
29271,"[52, 25, 0]",[77]
29272,"[93, 39, 0]",[132]
29273,"[43, 69, 0]",[112]
29274,"[21, 2, 0]",[23]
29275,"[54, 47, 0]",[101]
29276,"[3, 80, 2]",[240]
29277,"[52, 11, 3]",[4.7272727272727275]
29278,"[76, 36, 2]",[2736]
29279,"[32, 84, 2]",[2688]
29280,"[99, 9, 2]",[891]
29281,"[27, 75, 0]",[102]
29282,"[70, 68, 0]",[138]
29283,"[92, 46, 2]",[4232]
29284,"[18, 78, 2]",[1404]
29285,"[20, 67, 2]",[1340]
29286,"[42, 14, 3]",[3.0]
29287,"[48, 80, 0]",[128]
29288,"[68, 30, 2]",[2040]
29289,"[1, 21, 3]",[0.047619047619047616]
29290,"[82, 15, 2]",[1230]
29291,"[41, 60, 2]",[2460]
29292,"[25, 92, 2]",[2300]
29293,"[11, 27, 3]",[0.4074074074074074]
29294,"[71, 90, 3]",[0.7888888888888889]
29295,"[51, 3, 1]",[48]
29296,"[61, 40, 2]",[2440]
29297,"[83, 66, 2]",[5478]
29298,"[63, 10, 3]",[6.3]
29299,"[53, 36, 3]",[1.4722222222222223]
29300,"[73, 73, 3]",[1.0]
29301,"[11, 59, 0]",[70]
29302,"[13, 7, 0]",[20]
29303,"[61, 80, 0]",[141]
29304,"[28, 94, 2]",[2632]
29305,"[97, 87, 3]",[1.1149425287356323]
29306,"[69, 90, 1]",[-21]
29307,"[67, 16, 3]",[4.1875]
29308,"[57, 32, 2]",[1824]
29309,"[28, 40, 3]",[0.7]
29310,"[7, 18, 2]",[126]
29311,"[69, 1, 0]",[70]
29312,"[64, 9, 0]",[73]
29313,"[99, 62, 2]",[6138]
29314,"[95, 9, 2]",[855]
29315,"[53, 66, 1]",[-13]
29316,"[42, 94, 2]",[3948]
29317,"[37, 65, 0]",[102]
29318,"[25, 78, 3]",[0.32051282051282054]
29319,"[49, 32, 3]",[1.53125]
29320,"[84, 98, 0]",[182]
29321,"[32, 89, 3]",[0.3595505617977528]
29322,"[73, 19, 3]",[3.8421052631578947]
29323,"[24, 2, 2]",[48]
29324,"[87, 79, 0]",[166]
29325,"[91, 19, 1]",[72]
29326,"[32, 13, 2]",[416]
29327,"[53, 25, 3]",[2.12]
29328,"[33, 20, 3]",[1.65]
29329,"[95, 50, 1]",[45]
29330,"[20, 76, 0]",[96]
29331,"[64, 22, 2]",[1408]
29332,"[47, 52, 1]",[-5]
29333,"[65, 96, 0]",[161]
29334,"[35, 37, 1]",[-2]
29335,"[80, 98, 0]",[178]
29336,"[91, 91, 0]",[182]
29337,"[54, 91, 3]",[0.5934065934065934]
29338,"[89, 18, 0]",[107]
29339,"[26, 36, 3]",[0.7222222222222222]
29340,"[36, 60, 1]",[-24]
29341,"[85, 42, 3]",[2.0238095238095237]
29342,"[82, 87, 3]",[0.9425287356321839]
29343,"[23, 48, 0]",[71]
29344,"[23, 82, 2]",[1886]
29345,"[62, 21, 2]",[1302]
29346,"[72, 43, 0]",[115]
29347,"[23, 65, 2]",[1495]
29348,"[4, 69, 0]",[73]
29349,"[65, 82, 3]",[0.7926829268292683]
29350,"[34, 86, 1]",[-52]
29351,"[52, 37, 2]",[1924]
29352,"[94, 96, 2]",[9024]
29353,"[25, 14, 0]",[39]
29354,"[9, 9, 2]",[81]
29355,"[50, 44, 1]",[6]
29356,"[8, 6, 2]",[48]
29357,"[81, 4, 0]",[85]
29358,"[71, 62, 2]",[4402]
29359,"[92, 7, 1]",[85]
29360,"[33, 58, 1]",[-25]
29361,"[42, 71, 2]",[2982]
29362,"[13, 70, 2]",[910]
29363,"[46, 63, 2]",[2898]
29364,"[74, 14, 3]",[5.285714285714286]
29365,"[19, 40, 3]",[0.475]
29366,"[15, 74, 2]",[1110]
29367,"[18, 92, 1]",[-74]
29368,"[52, 61, 3]",[0.8524590163934426]
29369,"[10, 33, 1]",[-23]
29370,"[80, 48, 0]",[128]
29371,"[8, 12, 3]",[0.6666666666666666]
29372,"[73, 20, 2]",[1460]
29373,"[92, 10, 1]",[82]
29374,"[40, 20, 2]",[800]
29375,"[34, 80, 3]",[0.425]
29376,"[12, 73, 3]",[0.1643835616438356]
29377,"[57, 0, 0]",[57]
29378,"[37, 99, 2]",[3663]
29379,"[19, 64, 3]",[0.296875]
29380,"[3, 74, 3]",[0.04054054054054054]
29381,"[28, 12, 0]",[40]
29382,"[87, 20, 0]",[107]
29383,"[45, 87, 1]",[-42]
29384,"[2, 98, 1]",[-96]
29385,"[63, 24, 0]",[87]
29386,"[55, 61, 0]",[116]
29387,"[9, 95, 3]",[0.09473684210526316]
29388,"[38, 10, 0]",[48]
29389,"[26, 31, 1]",[-5]
29390,"[63, 86, 0]",[149]
29391,"[67, 39, 1]",[28]
29392,"[74, 16, 1]",[58]
29393,"[93, 62, 0]",[155]
29394,"[50, 52, 3]",[0.9615384615384616]
29395,"[90, 97, 1]",[-7]
29396,"[6, 34, 1]",[-28]
29397,"[20, 29, 0]",[49]
29398,"[96, 10, 3]",[9.6]
29399,"[34, 72, 1]",[-38]
29400,"[31, 19, 0]",[50]
29401,"[25, 24, 2]",[600]
29402,"[0, 58, 3]",[0.0]
29403,"[23, 87, 2]",[2001]
29404,"[57, 100, 0]",[157]
29405,"[15, 92, 3]",[0.16304347826086957]
29406,"[69, 10, 3]",[6.9]
29407,"[76, 48, 2]",[3648]
29408,"[46, 51, 2]",[2346]
29409,"[10, 94, 2]",[940]
29410,"[100, 87, 2]",[8700]
29411,"[36, 3, 3]",[12.0]
29412,"[58, 53, 0]",[111]
29413,"[80, 32, 1]",[48]
29414,"[75, 37, 0]",[112]
29415,"[39, 95, 1]",[-56]
29416,"[76, 88, 1]",[-12]
29417,"[52, 48, 1]",[4]
29418,"[47, 11, 2]",[517]
29419,"[64, 84, 1]",[-20]
29420,"[70, 65, 2]",[4550]
29421,"[70, 44, 1]",[26]
29422,"[86, 74, 3]",[1.162162162162162]
29423,"[39, 43, 2]",[1677]
29424,"[83, 79, 2]",[6557]
29425,"[14, 10, 1]",[4]
29426,"[41, 74, 0]",[115]
29427,"[42, 36, 3]",[1.1666666666666667]
29428,"[50, 77, 3]",[0.6493506493506493]
29429,"[14, 9, 1]",[5]
29430,"[43, 75, 2]",[3225]
29431,"[58, 99, 3]",[0.5858585858585859]
29432,"[100, 55, 0]",[155]
29433,"[27, 83, 0]",[110]
29434,"[39, 14, 1]",[25]
29435,"[92, 1, 0]",[93]
29436,"[84, 37, 1]",[47]
29437,"[14, 55, 0]",[69]
29438,"[53, 95, 3]",[0.5578947368421052]
29439,"[34, 63, 3]",[0.5396825396825397]
29440,"[0, 29, 3]",[0.0]
29441,"[52, 8, 3]",[6.5]
29442,"[95, 56, 1]",[39]
29443,"[41, 30, 0]",[71]
29444,"[63, 90, 0]",[153]
29445,"[5, 63, 3]",[0.07936507936507936]
29446,"[26, 21, 2]",[546]
29447,"[36, 38, 0]",[74]
29448,"[15, 99, 2]",[1485]
29449,"[83, 48, 2]",[3984]
29450,"[10, 96, 3]",[0.10416666666666667]
29451,"[10, 15, 1]",[-5]
29452,"[61, 61, 3]",[1.0]
29453,"[41, 52, 3]",[0.7884615384615384]
29454,"[0, 39, 0]",[39]
29455,"[52, 54, 2]",[2808]
29456,"[99, 15, 3]",[6.6]
29457,"[18, 39, 2]",[702]
29458,"[32, 94, 2]",[3008]
29459,"[80, 78, 2]",[6240]
29460,"[18, 17, 0]",[35]
29461,"[49, 18, 0]",[67]
29462,"[65, 41, 3]",[1.5853658536585367]
29463,"[53, 97, 0]",[150]
29464,"[99, 40, 0]",[139]
29465,"[76, 84, 1]",[-8]
29466,"[72, 10, 0]",[82]
29467,"[57, 53, 1]",[4]
29468,"[94, 24, 2]",[2256]
29469,"[51, 44, 3]",[1.1590909090909092]
29470,"[93, 17, 1]",[76]
29471,"[30, 41, 2]",[1230]
29472,"[21, 56, 0]",[77]
29473,"[47, 31, 2]",[1457]
29474,"[84, 68, 0]",[152]
29475,"[15, 97, 0]",[112]
29476,"[7, 67, 1]",[-60]
29477,"[32, 55, 1]",[-23]
29478,"[65, 4, 1]",[61]
29479,"[8, 10, 1]",[-2]
29480,"[89, 57, 3]",[1.5614035087719298]
29481,"[83, 37, 2]",[3071]
29482,"[50, 57, 1]",[-7]
29483,"[48, 16, 2]",[768]
29484,"[61, 95, 1]",[-34]
29485,"[2, 6, 2]",[12]
29486,"[87, 77, 2]",[6699]
29487,"[17, 0, 2]",[0]
29488,"[71, 26, 3]",[2.730769230769231]
29489,"[29, 73, 2]",[2117]
29490,"[79, 85, 3]",[0.9294117647058824]
29491,"[39, 67, 3]",[0.582089552238806]
29492,"[96, 82, 3]",[1.170731707317073]
29493,"[89, 60, 0]",[149]
29494,"[36, 70, 0]",[106]
29495,"[3, 38, 3]",[0.07894736842105263]
29496,"[17, 96, 1]",[-79]
29497,"[0, 40, 0]",[40]
29498,"[65, 11, 3]",[5.909090909090909]
29499,"[72, 50, 3]",[1.44]
29500,"[27, 16, 3]",[1.6875]
29501,"[2, 86, 3]",[0.023255813953488372]
29502,"[14, 29, 3]",[0.4827586206896552]
29503,"[81, 5, 0]",[86]
29504,"[42, 3, 1]",[39]
29505,"[51, 82, 1]",[-31]
29506,"[69, 48, 2]",[3312]
29507,"[61, 23, 1]",[38]
29508,"[93, 44, 1]",[49]
29509,"[78, 19, 2]",[1482]
29510,"[40, 94, 1]",[-54]
29511,"[70, 89, 2]",[6230]
29512,"[92, 6, 0]",[98]
29513,"[89, 99, 0]",[188]
29514,"[64, 59, 2]",[3776]
29515,"[17, 89, 2]",[1513]
29516,"[42, 80, 0]",[122]
29517,"[5, 81, 0]",[86]
29518,"[21, 50, 3]",[0.42]
29519,"[20, 55, 1]",[-35]
29520,"[71, 5, 1]",[66]
29521,"[28, 39, 1]",[-11]
29522,"[14, 3, 2]",[42]
29523,"[9, 20, 0]",[29]
29524,"[33, 44, 3]",[0.75]
29525,"[6, 8, 2]",[48]
29526,"[33, 4, 0]",[37]
29527,"[72, 91, 0]",[163]
29528,"[81, 26, 2]",[2106]
29529,"[99, 55, 2]",[5445]
29530,"[17, 32, 1]",[-15]
29531,"[61, 42, 2]",[2562]
29532,"[96, 91, 2]",[8736]
29533,"[87, 88, 1]",[-1]
29534,"[24, 46, 2]",[1104]
29535,"[50, 22, 3]",[2.272727272727273]
29536,"[27, 12, 3]",[2.25]
29537,"[77, 67, 2]",[5159]
29538,"[45, 92, 1]",[-47]
29539,"[94, 56, 1]",[38]
29540,"[100, 45, 0]",[145]
29541,"[93, 44, 1]",[49]
29542,"[45, 41, 1]",[4]
29543,"[28, 8, 2]",[224]
29544,"[53, 10, 0]",[63]
29545,"[61, 8, 3]",[7.625]
29546,"[66, 70, 2]",[4620]
29547,"[90, 59, 2]",[5310]
29548,"[21, 22, 2]",[462]
29549,"[98, 89, 1]",[9]
29550,"[49, 6, 0]",[55]
29551,"[28, 24, 2]",[672]
29552,"[62, 37, 2]",[2294]
29553,"[17, 55, 3]",[0.3090909090909091]
29554,"[63, 18, 3]",[3.5]
29555,"[84, 61, 1]",[23]
29556,"[47, 41, 1]",[6]
29557,"[99, 2, 0]",[101]
29558,"[30, 61, 0]",[91]
29559,"[29, 25, 2]",[725]
29560,"[97, 29, 0]",[126]
29561,"[96, 54, 2]",[5184]
29562,"[67, 63, 3]",[1.0634920634920635]
29563,"[28, 27, 3]",[1.037037037037037]
29564,"[83, 78, 1]",[5]
29565,"[74, 94, 3]",[0.7872340425531915]
29566,"[37, 51, 0]",[88]
29567,"[37, 62, 3]",[0.5967741935483871]
29568,"[46, 5, 1]",[41]
29569,"[100, 39, 2]",[3900]
29570,"[76, 100, 2]",[7600]
29571,"[44, 5, 3]",[8.8]
29572,"[0, 8, 3]",[0.0]
29573,"[60, 93, 2]",[5580]
29574,"[13, 31, 1]",[-18]
29575,"[48, 38, 2]",[1824]
29576,"[60, 7, 2]",[420]
29577,"[15, 62, 2]",[930]
29578,"[16, 15, 1]",[1]
29579,"[80, 46, 3]",[1.7391304347826086]
29580,"[6, 90, 3]",[0.06666666666666667]
29581,"[20, 52, 1]",[-32]
29582,"[4, 71, 0]",[75]
29583,"[20, 28, 0]",[48]
29584,"[97, 64, 0]",[161]
29585,"[99, 9, 2]",[891]
29586,"[49, 69, 0]",[118]
29587,"[24, 14, 2]",[336]
29588,"[54, 88, 1]",[-34]
29589,"[87, 27, 3]",[3.2222222222222223]
29590,"[83, 27, 2]",[2241]
29591,"[81, 45, 1]",[36]
29592,"[5, 40, 0]",[45]
29593,"[42, 38, 0]",[80]
29594,"[60, 21, 0]",[81]
29595,"[32, 6, 2]",[192]
29596,"[68, 31, 2]",[2108]
29597,"[56, 41, 2]",[2296]
29598,"[15, 24, 2]",[360]
29599,"[89, 51, 1]",[38]
29600,"[66, 40, 0]",[106]
29601,"[84, 45, 3]",[1.8666666666666667]
29602,"[77, 78, 2]",[6006]
29603,"[34, 40, 2]",[1360]
29604,"[38, 98, 2]",[3724]
29605,"[77, 0, 2]",[0]
29606,"[13, 26, 3]",[0.5]
29607,"[71, 22, 1]",[49]
29608,"[6, 57, 0]",[63]
29609,"[100, 61, 2]",[6100]
29610,"[30, 41, 2]",[1230]
29611,"[86, 90, 1]",[-4]
29612,"[66, 43, 3]",[1.5348837209302326]
29613,"[91, 80, 2]",[7280]
29614,"[36, 20, 1]",[16]
29615,"[1, 74, 3]",[0.013513513513513514]
29616,"[57, 57, 1]",[0]
29617,"[25, 98, 3]",[0.25510204081632654]
29618,"[57, 70, 1]",[-13]
29619,"[100, 22, 0]",[122]
29620,"[51, 22, 3]",[2.3181818181818183]
29621,"[60, 75, 1]",[-15]
29622,"[28, 50, 0]",[78]
29623,"[9, 13, 3]",[0.6923076923076923]
29624,"[87, 49, 1]",[38]
29625,"[58, 53, 1]",[5]
29626,"[40, 13, 3]",[3.076923076923077]
29627,"[29, 19, 1]",[10]
29628,"[33, 56, 1]",[-23]
29629,"[47, 14, 3]",[3.357142857142857]
29630,"[88, 78, 1]",[10]
29631,"[69, 47, 1]",[22]
29632,"[77, 73, 3]",[1.0547945205479452]
29633,"[54, 82, 2]",[4428]
29634,"[20, 11, 1]",[9]
29635,"[48, 50, 0]",[98]
29636,"[34, 56, 1]",[-22]
29637,"[14, 9, 1]",[5]
29638,"[90, 23, 3]",[3.9130434782608696]
29639,"[1, 72, 3]",[0.013888888888888888]
29640,"[81, 64, 3]",[1.265625]
29641,"[68, 8, 3]",[8.5]
29642,"[14, 51, 0]",[65]
29643,"[1, 31, 3]",[0.03225806451612903]
29644,"[76, 82, 0]",[158]
29645,"[44, 83, 2]",[3652]
29646,"[42, 47, 1]",[-5]
29647,"[72, 90, 0]",[162]
29648,"[5, 18, 1]",[-13]
29649,"[43, 46, 0]",[89]
29650,"[25, 93, 3]",[0.26881720430107525]
29651,"[96, 30, 2]",[2880]
29652,"[51, 2, 2]",[102]
29653,"[12, 95, 0]",[107]
29654,"[66, 71, 1]",[-5]
29655,"[52, 66, 0]",[118]
29656,"[12, 87, 2]",[1044]
29657,"[33, 57, 1]",[-24]
29658,"[34, 5, 2]",[170]
29659,"[51, 22, 3]",[2.3181818181818183]
29660,"[36, 76, 0]",[112]
29661,"[82, 76, 2]",[6232]
29662,"[50, 83, 0]",[133]
29663,"[26, 92, 3]",[0.2826086956521739]
29664,"[92, 5, 1]",[87]
29665,"[36, 81, 3]",[0.4444444444444444]
29666,"[36, 57, 3]",[0.631578947368421]
29667,"[57, 29, 2]",[1653]
29668,"[46, 36, 1]",[10]
29669,"[85, 99, 1]",[-14]
29670,"[3, 7, 2]",[21]
29671,"[1, 42, 3]",[0.023809523809523808]
29672,"[4, 68, 1]",[-64]
29673,"[4, 57, 0]",[61]
29674,"[41, 12, 0]",[53]
29675,"[59, 13, 1]",[46]
29676,"[6, 67, 3]",[0.08955223880597014]
29677,"[11, 30, 0]",[41]
29678,"[32, 13, 2]",[416]
29679,"[43, 72, 2]",[3096]
29680,"[93, 40, 0]",[133]
29681,"[40, 20, 2]",[800]
29682,"[40, 67, 0]",[107]
29683,"[10, 70, 3]",[0.14285714285714285]
29684,"[26, 6, 3]",[4.333333333333333]
29685,"[19, 19, 1]",[0]
29686,"[39, 57, 0]",[96]
29687,"[90, 30, 2]",[2700]
29688,"[82, 75, 1]",[7]
29689,"[89, 10, 0]",[99]
29690,"[34, 71, 2]",[2414]
29691,"[10, 67, 3]",[0.14925373134328357]
29692,"[63, 89, 0]",[152]
29693,"[30, 77, 2]",[2310]
29694,"[38, 73, 2]",[2774]
29695,"[85, 59, 0]",[144]
29696,"[58, 68, 2]",[3944]
29697,"[61, 25, 2]",[1525]
29698,"[93, 84, 2]",[7812]
29699,"[100, 76, 0]",[176]
29700,"[15, 39, 1]",[-24]
29701,"[45, 45, 2]",[2025]
29702,"[32, 68, 3]",[0.47058823529411764]
29703,"[13, 53, 0]",[66]
29704,"[2, 46, 0]",[48]
29705,"[28, 16, 2]",[448]
29706,"[54, 45, 2]",[2430]
29707,"[98, 68, 2]",[6664]
29708,"[10, 29, 3]",[0.3448275862068966]
29709,"[24, 20, 1]",[4]
29710,"[55, 37, 1]",[18]
29711,"[6, 93, 2]",[558]
29712,"[35, 95, 2]",[3325]
29713,"[34, 65, 0]",[99]
29714,"[37, 21, 2]",[777]
29715,"[21, 17, 3]",[1.2352941176470589]
29716,"[60, 63, 1]",[-3]
29717,"[4, 9, 0]",[13]
29718,"[83, 77, 3]",[1.077922077922078]
29719,"[87, 90, 0]",[177]
29720,"[10, 69, 1]",[-59]
29721,"[64, 71, 1]",[-7]
29722,"[94, 85, 2]",[7990]
29723,"[62, 68, 2]",[4216]
29724,"[57, 52, 1]",[5]
29725,"[66, 84, 1]",[-18]
29726,"[75, 39, 3]",[1.9230769230769231]
29727,"[80, 39, 0]",[119]
29728,"[42, 87, 2]",[3654]
29729,"[78, 40, 1]",[38]
29730,"[8, 77, 1]",[-69]
29731,"[30, 100, 3]",[0.3]
29732,"[29, 28, 0]",[57]
29733,"[49, 34, 1]",[15]
29734,"[94, 31, 1]",[63]
29735,"[5, 43, 3]",[0.11627906976744186]
29736,"[12, 64, 1]",[-52]
29737,"[55, 44, 2]",[2420]
29738,"[83, 94, 3]",[0.8829787234042553]
29739,"[86, 99, 0]",[185]
29740,"[61, 78, 2]",[4758]
29741,"[75, 84, 0]",[159]
29742,"[17, 19, 2]",[323]
29743,"[42, 31, 1]",[11]
29744,"[98, 86, 1]",[12]
29745,"[42, 63, 3]",[0.6666666666666666]
29746,"[64, 14, 1]",[50]
29747,"[90, 83, 0]",[173]
29748,"[40, 34, 0]",[74]
29749,"[5, 32, 3]",[0.15625]
29750,"[60, 99, 2]",[5940]
29751,"[81, 75, 0]",[156]
29752,"[4, 65, 1]",[-61]
29753,"[29, 70, 2]",[2030]
29754,"[83, 40, 2]",[3320]
29755,"[26, 11, 2]",[286]
29756,"[63, 52, 3]",[1.2115384615384615]
29757,"[21, 59, 0]",[80]
29758,"[30, 92, 1]",[-62]
29759,"[99, 45, 3]",[2.2]
29760,"[76, 50, 0]",[126]
29761,"[4, 54, 3]",[0.07407407407407407]
29762,"[70, 53, 0]",[123]
29763,"[94, 39, 1]",[55]
29764,"[46, 79, 2]",[3634]
29765,"[36, 19, 3]",[1.894736842105263]
29766,"[22, 62, 3]",[0.3548387096774194]
29767,"[63, 34, 3]",[1.8529411764705883]
29768,"[78, 45, 0]",[123]
29769,"[1, 33, 0]",[34]
29770,"[86, 12, 0]",[98]
29771,"[97, 25, 0]",[122]
29772,"[8, 15, 0]",[23]
29773,"[6, 64, 0]",[70]
29774,"[43, 86, 1]",[-43]
29775,"[33, 97, 3]",[0.3402061855670103]
29776,"[6, 48, 0]",[54]
29777,"[58, 55, 0]",[113]
29778,"[72, 66, 3]",[1.0909090909090908]
29779,"[45, 32, 0]",[77]
29780,"[52, 63, 1]",[-11]
29781,"[37, 8, 2]",[296]
29782,"[19, 98, 2]",[1862]
29783,"[27, 30, 1]",[-3]
29784,"[69, 95, 1]",[-26]
29785,"[0, 57, 3]",[0.0]
29786,"[74, 57, 2]",[4218]
29787,"[58, 20, 3]",[2.9]
29788,"[68, 64, 3]",[1.0625]
29789,"[7, 60, 0]",[67]
29790,"[44, 100, 3]",[0.44]
29791,"[97, 22, 1]",[75]
29792,"[3, 51, 1]",[-48]
29793,"[97, 25, 0]",[122]
29794,"[43, 68, 3]",[0.6323529411764706]
29795,"[12, 92, 1]",[-80]
29796,"[81, 100, 0]",[181]
29797,"[86, 76, 2]",[6536]
29798,"[36, 19, 3]",[1.894736842105263]
29799,"[22, 75, 0]",[97]
29800,"[33, 31, 3]",[1.064516129032258]
29801,"[100, 99, 3]",[1.0101010101010102]
29802,"[59, 17, 2]",[1003]
29803,"[22, 56, 2]",[1232]
29804,"[74, 30, 0]",[104]
29805,"[2, 51, 1]",[-49]
29806,"[4, 34, 0]",[38]
29807,"[19, 45, 1]",[-26]
29808,"[97, 13, 0]",[110]
29809,"[53, 1, 1]",[52]
29810,"[25, 13, 1]",[12]
29811,"[63, 34, 3]",[1.8529411764705883]
29812,"[36, 43, 0]",[79]
29813,"[33, 45, 2]",[1485]
29814,"[13, 100, 2]",[1300]
29815,"[93, 16, 3]",[5.8125]
29816,"[3, 5, 1]",[-2]
29817,"[23, 40, 1]",[-17]
29818,"[28, 26, 3]",[1.0769230769230769]
29819,"[11, 3, 2]",[33]
29820,"[14, 14, 2]",[196]
29821,"[45, 36, 2]",[1620]
29822,"[56, 22, 0]",[78]
29823,"[91, 79, 2]",[7189]
29824,"[21, 62, 0]",[83]
29825,"[22, 39, 1]",[-17]
29826,"[66, 82, 1]",[-16]
29827,"[21, 83, 0]",[104]
29828,"[72, 21, 2]",[1512]
29829,"[44, 63, 0]",[107]
29830,"[6, 13, 1]",[-7]
29831,"[27, 85, 1]",[-58]
29832,"[79, 18, 2]",[1422]
29833,"[49, 81, 0]",[130]
29834,"[100, 40, 1]",[60]
29835,"[43, 94, 2]",[4042]
29836,"[96, 99, 3]",[0.9696969696969697]
29837,"[14, 71, 1]",[-57]
29838,"[66, 60, 2]",[3960]
29839,"[23, 12, 2]",[276]
29840,"[68, 0, 0]",[68]
29841,"[29, 97, 0]",[126]
29842,"[40, 23, 3]",[1.7391304347826086]
29843,"[74, 57, 3]",[1.2982456140350878]
29844,"[76, 57, 3]",[1.3333333333333333]
29845,"[91, 34, 0]",[125]
29846,"[96, 79, 0]",[175]
29847,"[6, 62, 0]",[68]
29848,"[16, 69, 2]",[1104]
29849,"[26, 93, 2]",[2418]
29850,"[69, 54, 0]",[123]
29851,"[71, 22, 3]",[3.227272727272727]
29852,"[44, 25, 1]",[19]
29853,"[28, 56, 1]",[-28]
29854,"[88, 99, 0]",[187]
29855,"[92, 60, 1]",[32]
29856,"[62, 16, 2]",[992]
29857,"[83, 38, 0]",[121]
29858,"[80, 35, 1]",[45]
29859,"[88, 25, 1]",[63]
29860,"[63, 91, 0]",[154]
29861,"[35, 85, 3]",[0.4117647058823529]
29862,"[63, 23, 2]",[1449]
29863,"[65, 100, 0]",[165]
29864,"[83, 88, 0]",[171]
29865,"[5, 74, 3]",[0.06756756756756757]
29866,"[50, 37, 3]",[1.3513513513513513]
29867,"[88, 37, 0]",[125]
29868,"[35, 45, 0]",[80]
29869,"[61, 38, 2]",[2318]
29870,"[91, 54, 1]",[37]
29871,"[25, 36, 0]",[61]
29872,"[43, 30, 2]",[1290]
29873,"[32, 30, 1]",[2]
29874,"[32, 70, 0]",[102]
29875,"[66, 53, 2]",[3498]
29876,"[58, 94, 3]",[0.6170212765957447]
29877,"[34, 45, 2]",[1530]
29878,"[62, 50, 3]",[1.24]
29879,"[32, 8, 3]",[4.0]
29880,"[70, 15, 3]",[4.666666666666667]
29881,"[28, 29, 2]",[812]
29882,"[45, 37, 2]",[1665]
29883,"[88, 83, 2]",[7304]
29884,"[72, 88, 1]",[-16]
29885,"[6, 24, 1]",[-18]
29886,"[24, 9, 0]",[33]
29887,"[68, 48, 2]",[3264]
29888,"[45, 26, 0]",[71]
29889,"[12, 31, 0]",[43]
29890,"[100, 22, 1]",[78]
29891,"[61, 67, 2]",[4087]
29892,"[47, 72, 1]",[-25]
29893,"[98, 3, 0]",[101]
29894,"[6, 28, 1]",[-22]
29895,"[36, 72, 1]",[-36]
29896,"[48, 59, 2]",[2832]
29897,"[48, 71, 2]",[3408]
29898,"[22, 29, 3]",[0.7586206896551724]
29899,"[34, 45, 0]",[79]
29900,"[8, 14, 3]",[0.5714285714285714]
29901,"[31, 0, 0]",[31]
29902,"[0, 13, 3]",[0.0]
29903,"[29, 46, 3]",[0.6304347826086957]
29904,"[2, 6, 0]",[8]
29905,"[94, 38, 1]",[56]
29906,"[32, 57, 1]",[-25]
29907,"[40, 74, 1]",[-34]
29908,"[73, 24, 0]",[97]
29909,"[4, 27, 3]",[0.14814814814814814]
29910,"[72, 82, 2]",[5904]
